math,physics,chemistry,english,cs,attendance,hours_studied,extracurricular,school_type,prep_course,overall_score,passed
71.4,64.7,55.3,85.6,58.8,84.6,10.6,2,Public,No,27.98,0
72.6,65.9,54.0,69.6,63.1,81.1,8.9,5,Private,Yes,39.02,0
80.5,70.6,58.5,54.2,81.3,82.5,11.5,4,Public,No,48.86,0
72.7,54.9,73.6,64.0,79.5,100.0,11.6,0,Public,Yes,88.49,1
78.1,77.2,52.6,77.5,75.1,71.1,12.7,3,Private,No,57.49,0
70.8,76.6,72.1,76.0,61.6,89.0,14.3,0,Private,Yes,82.45,1
73.5,73.0,48.6,56.3,82.4,71.6,13.0,1,Private,Yes,64.3,1
77.6,75.2,63.1,64.8,60.5,84.1,7.2,1,Public,No,43.22,0
52.5,71.9,67.5,66.2,86.7,81.5,7.3,3,Private,No,29.99,0
66.2,94.5,100.0,68.3,100.0,68.3,9.8,1,Public,No,80.1,1
64.4,66.9,46.7,58.2,78.0,88.1,8.6,1,Private,Yes,20.03,0
62.3,64.0,86.6,65.7,80.4,82.0,6.6,1,Private,Yes,71.86,1
66.7,58.2,68.1,64.7,68.6,68.2,8.7,2,Private,No,39.01,0
87.9,54.6,71.8,79.7,54.1,91.7,8.6,3,Public,No,11.2,0
59.6,51.8,67.7,80.1,67.4,96.5,8.0,2,Public,Yes,36.71,0
81.6,56.4,72.2,70.5,62.0,96.9,9.1,1,Public,No,52.22,0
49.8,67.1,63.8,68.1,58.1,87.9,13.5,3,Public,No,33.79,0
66.0,72.3,86.4,73.4,92.9,85.4,10.6,3,Public,No,68.68,1
72.0,68.7,59.6,63.8,77.0,95.6,17.4,0,Private,Yes,49.81,0
77.0,58.0,81.9,60.5,78.2,98.5,10.5,5,Public,No,36.08,0
78.5,79.7,57.0,62.6,70.6,94.1,9.1,5,Public,Yes,51.9,0
79.5,77.6,65.2,65.7,72.1,77.5,10.0,3,Public,No,48.52,0
65.8,65.9,51.0,60.4,84.6,86.6,10.8,3,Public,Yes,39.18,0
64.5,59.5,72.4,73.6,73.6,88.5,11.3,4,Public,No,62.49,1
80.3,75.1,86.2,79.3,79.8,70.5,16.2,2,Public,No,56.07,0
67.7,70.4,64.9,56.1,71.8,88.8,7.5,2,Private,No,44.71,0
54.7,49.2,63.2,72.3,70.2,100.0,12.6,2,Private,Yes,47.0,0
56.4,67.1,50.4,69.8,58.5,90.1,10.6,0,Public,Yes,13.9,0
59.0,71.4,62.8,75.4,52.2,96.8,5.3,5,Public,No,17.26,0
76.0,56.3,43.7,71.9,71.1,86.5,12.3,1,Public,No,36.72,0
71.7,70.5,53.2,57.5,74.6,84.4,13.8,1,Private,No,71.4,1
78.3,49.1,69.2,59.4,59.9,88.1,7.4,5,Private,Yes,50.95,0
64.9,85.4,84.5,72.3,73.6,78.5,10.0,3,Public,No,32.49,0
71.9,84.2,100.0,82.3,74.6,77.3,4.8,3,Private,Yes,27.37,0
77.5,64.7,57.8,49.9,50.3,95.1,6.2,1,Public,Yes,41.01,0
66.3,72.7,86.1,75.5,63.9,96.0,13.1,1,Public,Yes,59.49,0
75.5,36.7,69.4,83.9,78.5,77.1,8.6,4,Private,No,59.12,0
62.1,53.0,63.9,70.5,78.3,92.7,6.7,2,Public,Yes,27.36,0
65.6,64.2,72.1,77.5,61.3,84.3,10.7,0,Public,Yes,50.72,0
65.4,54.1,66.9,65.0,75.7,87.7,8.4,5,Public,No,49.02,0
55.6,77.3,67.5,70.8,85.2,88.7,8.6,2,Public,No,39.16,0
75.8,94.0,60.3,55.8,82.5,93.0,12.2,4,Public,Yes,56.67,0
64.4,52.7,46.4,48.6,73.0,85.7,6.5,2,Public,Yes,24.17,0
70.1,57.1,44.4,81.4,68.9,96.3,7.3,3,Public,No,41.23,0
75.8,71.1,75.1,62.2,67.1,87.5,10.5,4,Public,Yes,53.73,0
75.4,88.9,62.1,67.4,79.1,90.0,12.9,5,Private,Yes,81.32,1
78.0,52.1,57.7,58.1,76.1,78.3,13.7,1,Public,No,32.44,0
68.8,71.2,66.1,57.9,80.9,100.0,8.0,4,Private,Yes,36.88,0
64.9,91.7,77.1,70.3,75.5,88.8,12.8,5,Public,No,87.42,1
69.0,46.5,68.5,64.7,83.0,90.7,7.6,3,Public,Yes,34.21,0
49.8,51.3,56.8,75.8,75.0,72.1,15.5,0,Public,Yes,30.41,0
52.6,62.5,83.2,76.5,82.6,78.4,6.6,1,Private,Yes,48.07,0
54.1,61.2,88.1,75.2,83.6,94.9,14.0,1,Public,Yes,60.31,1
58.0,78.6,72.9,74.4,65.2,87.3,8.0,0,Private,Yes,44.98,0
74.8,71.1,79.6,87.8,54.1,69.7,16.0,4,Public,Yes,62.67,1
59.1,44.9,83.4,61.3,91.0,93.3,11.8,5,Public,No,46.62,0
65.5,74.7,81.8,71.5,76.8,80.6,7.0,3,Public,No,49.96,0
85.6,60.5,74.6,83.3,55.1,96.3,8.4,3,Public,Yes,24.14,0
65.7,84.6,74.4,84.6,66.1,84.3,12.3,4,Public,No,82.4,1
78.9,59.8,73.3,57.8,82.5,86.6,13.2,2,Public,No,48.43,0
58.8,59.7,50.6,68.9,70.9,94.4,9.8,2,Public,No,39.77,0
67.5,75.0,75.8,85.6,68.4,77.8,10.1,3,Public,Yes,38.74,0
58.6,77.9,47.0,77.1,89.4,77.1,12.3,1,Public,Yes,42.36,0
65.9,73.8,54.9,74.0,62.5,83.4,10.4,0,Public,Yes,33.41,0
80.1,46.1,84.2,69.8,65.2,91.6,6.1,3,Public,Yes,65.38,1
49.3,75.0,77.8,68.2,76.3,74.4,7.6,4,Public,Yes,37.09,0
75.2,54.6,86.8,74.9,78.3,71.7,10.7,0,Public,No,58.05,0
72.9,71.1,62.2,69.5,79.5,91.6,13.6,1,Public,No,42.98,0
62.9,49.5,49.9,71.6,84.0,80.2,14.8,1,Public,Yes,36.3,0
52.6,73.8,62.6,72.8,76.2,81.9,12.3,4,Private,No,45.08,0
70.9,57.5,67.4,65.2,79.4,70.1,10.9,3,Public,Yes,62.1,1
63.6,51.3,67.1,77.3,71.1,79.6,12.2,3,Public,No,16.05,0
72.8,77.3,81.9,100.0,74.7,84.9,8.0,3,Private,No,48.13,0
70.3,71.1,60.9,54.2,75.2,92.4,9.5,1,Public,Yes,18.83,0
89.2,60.0,70.9,75.2,76.4,78.8,7.5,4,Public,No,35.33,0
67.1,86.9,52.2,64.4,82.5,98.3,6.3,0,Private,No,34.93,0
57.7,62.3,72.3,77.8,80.1,79.5,11.0,0,Private,No,25.71,0
72.2,68.4,66.0,72.5,74.5,79.5,10.6,4,Private,No,41.75,0
72.6,71.5,55.5,79.6,65.1,97.3,12.1,3,Public,No,22.6,0
86.3,59.9,62.7,83.8,74.7,86.7,11.6,1,Public,Yes,43.58,0
80.0,74.1,63.4,73.9,73.7,80.6,10.7,2,Private,Yes,74.62,1
74.3,61.1,62.2,83.3,76.1,83.8,11.7,0,Private,No,56.08,0
87.6,62.6,90.8,48.6,98.3,95.8,9.9,4,Public,Yes,68.8,1
55.7,85.7,64.6,87.9,68.2,96.7,11.2,4,Public,No,40.75,0
62.3,54.5,62.6,75.8,78.6,78.5,7.8,1,Public,No,13.65,0
58.9,36.6,36.6,82.8,85.8,84.7,11.1,2,Public,No,12.53,0
65.3,88.9,53.5,59.8,75.1,85.7,12.0,1,Public,Yes,48.73,0
53.5,100.0,62.3,63.7,99.7,77.1,8.0,2,Public,No,60.26,1
77.6,62.7,56.4,73.5,69.8,84.6,10.2,1,Public,Yes,57.43,0
67.3,42.8,85.3,71.8,77.6,85.0,8.1,1,Public,Yes,52.89,0
52.4,64.0,63.7,74.8,65.2,94.1,8.4,2,Public,Yes,29.64,0
57.8,64.3,84.0,82.8,70.1,94.7,6.6,5,Public,No,47.93,0
73.8,65.5,66.9,54.3,76.7,82.4,13.8,4,Public,No,43.02,0
80.1,53.5,66.5,81.7,83.3,83.3,13.2,1,Public,Yes,54.28,0
94.0,75.5,64.8,72.1,77.5,90.3,11.6,5,Private,No,92.57,1
100.0,74.8,66.1,70.0,87.9,80.3,15.9,1,Public,Yes,48.99,0
75.0,48.6,90.1,57.3,73.0,89.7,9.4,5,Public,No,43.47,0
58.1,77.1,33.5,77.0,70.3,84.3,19.1,1,Public,Yes,63.97,1
44.4,94.7,38.0,47.9,100.0,77.2,9.3,3,Public,No,14.16,0
73.2,70.2,58.4,78.5,78.3,77.3,10.8,1,Public,No,37.36,0
60.2,63.6,66.2,57.1,66.1,96.6,8.8,4,Public,No,28.74,0
65.0,66.2,75.7,72.5,66.4,83.7,11.1,1,Public,Yes,46.21,0
62.7,76.0,72.6,70.8,63.6,98.1,12.5,5,Public,No,31.51,0
68.3,45.5,60.6,83.7,84.3,80.9,9.7,0,Public,No,45.68,0
82.8,70.1,80.3,70.2,70.0,87.3,15.3,3,Public,No,70.39,1
71.9,62.9,80.4,65.1,75.4,100.0,10.7,0,Public,No,56.05,0
68.1,92.0,68.6,66.9,73.3,76.5,10.8,5,Public,No,42.04,0
57.6,65.7,79.5,84.7,82.0,69.8,7.3,2,Public,Yes,49.79,0
49.9,89.7,69.8,77.4,64.7,95.3,11.3,4,Public,No,38.89,0
64.2,53.7,58.1,68.1,62.2,78.4,9.6,5,Public,Yes,31.73,0
69.4,75.6,75.8,69.6,76.5,84.8,8.2,3,Public,No,77.02,1
91.2,72.2,67.5,56.3,80.6,80.3,7.7,0,Public,Yes,52.1,0
71.6,56.7,66.0,75.9,77.7,87.1,18.0,1,Private,Yes,47.13,0
81.8,70.3,86.6,54.4,65.1,77.4,9.2,1,Private,No,52.6,0
64.0,83.8,31.7,79.5,81.5,83.6,5.6,5,Private,No,22.93,0
55.8,63.8,46.2,73.3,65.8,88.6,7.9,5,Public,No,14.07,0
58.4,46.0,49.4,95.9,68.3,76.9,9.8,2,Public,No,17.24,0
61.3,67.8,60.9,61.0,63.6,79.4,11.6,5,Public,Yes,36.23,0
95.5,56.3,62.4,71.0,88.3,82.2,11.7,1,Public,Yes,70.13,1
60.1,63.5,44.9,90.0,81.0,73.6,12.0,4,Public,Yes,53.78,0
80.1,66.9,52.2,83.9,80.7,81.6,8.1,2,Public,No,52.0,0
59.2,45.8,53.9,65.0,87.7,86.0,11.0,1,Public,No,17.16,0
81.2,47.0,100.0,74.2,100.0,81.8,7.4,1,Public,No,49.68,0
74.6,74.3,91.2,72.0,55.2,82.8,8.1,2,Public,No,53.07,0
68.1,61.2,60.2,74.8,65.9,84.8,7.2,2,Private,Yes,35.43,0
69.5,34.7,60.9,65.0,67.2,79.8,6.4,1,Public,No,17.36,0
62.1,78.2,49.9,71.1,64.6,90.5,13.2,2,Private,No,51.85,0
75.4,71.5,39.3,56.0,62.1,96.5,12.1,0,Public,No,29.13,0
64.5,58.7,64.4,73.4,70.7,81.3,12.9,5,Public,Yes,51.87,0
55.3,50.9,52.0,76.5,60.6,88.9,10.1,2,Public,Yes,52.77,0
54.7,78.9,64.8,69.7,77.7,83.1,12.3,0,Public,No,41.7,0
72.1,72.5,43.6,55.8,74.6,87.9,4.7,3,Public,Yes,49.18,0
88.9,99.0,55.3,81.9,79.3,97.5,12.6,5,Public,No,78.16,1
71.9,73.5,68.1,75.6,79.6,89.1,10.5,2,Public,Yes,37.94,0
68.6,73.0,71.1,64.7,80.6,70.8,11.9,5,Public,No,35.29,0
73.4,65.8,71.8,69.2,69.9,88.6,11.1,3,Public,No,37.53,0
85.7,78.6,47.5,57.0,97.3,94.9,7.0,4,Private,No,42.07,0
72.6,76.1,78.0,61.7,76.6,83.2,5.5,1,Public,Yes,47.16,0
65.1,84.3,54.8,66.6,53.5,93.0,7.9,0,Public,Yes,47.32,0
83.3,61.2,74.9,84.3,63.0,79.5,11.7,2,Public,Yes,73.22,1
75.1,62.3,65.9,65.6,54.9,73.1,12.1,5,Public,No,44.26,0
88.4,61.8,46.7,78.4,74.2,86.1,5.9,4,Public,Yes,39.84,0
72.2,78.3,61.6,66.6,72.7,70.9,7.1,4,Public,No,13.5,0
55.3,87.5,71.1,74.5,68.8,83.1,7.8,5,Private,Yes,56.38,0
53.6,62.0,74.6,70.6,96.1,95.3,8.9,2,Public,Yes,51.44,0
89.8,62.5,64.0,80.7,80.0,69.7,5.9,1,Public,No,46.74,0
90.7,72.1,87.4,66.7,82.0,74.8,5.7,5,Public,No,84.13,1
67.8,64.8,80.1,56.3,63.8,76.7,7.5,3,Private,No,56.69,0
65.4,80.4,62.4,58.2,63.0,84.5,10.3,1,Private,No,52.66,0
87.5,38.7,76.5,66.7,74.4,82.1,6.5,1,Private,No,28.9,0
56.7,57.3,93.1,59.5,75.9,96.2,9.7,5,Public,No,40.38,0
59.3,57.8,93.4,76.1,53.6,92.6,13.2,0,Public,No,45.57,0
77.7,37.8,48.8,67.3,72.0,89.0,6.1,0,Public,Yes,18.02,0
65.3,55.5,53.0,95.7,74.2,86.2,9.4,4,Private,No,52.75,0
69.9,56.1,86.8,54.6,71.6,88.1,13.1,0,Public,No,49.99,0
68.0,65.4,51.2,74.0,65.1,78.1,8.7,1,Public,Yes,22.91,0
74.1,82.5,47.5,60.7,68.1,91.9,8.3,5,Public,No,56.68,0
86.9,64.8,59.2,67.1,72.1,76.1,13.5,2,Public,No,49.42,0
71.1,54.6,71.9,73.4,75.0,91.7,9.1,4,Public,No,22.61,0
77.7,67.3,64.6,48.7,80.7,94.5,13.3,2,Public,Yes,52.15,0
45.4,81.6,56.9,74.4,85.9,86.7,11.3,0,Public,No,45.36,0
69.4,55.3,56.6,91.0,70.8,83.6,9.0,1,Private,No,55.8,0
59.9,56.2,56.0,67.5,69.0,88.2,11.4,4,Public,Yes,35.42,0
55.4,75.3,53.7,74.6,78.8,62.1,11.0,0,Private,Yes,54.55,0
59.5,65.1,97.9,82.2,80.7,87.4,13.1,3,Public,Yes,68.85,1
66.0,76.4,70.2,70.4,69.2,84.1,8.4,2,Private,Yes,35.4,0
81.0,67.8,78.4,66.2,82.7,84.6,10.1,2,Public,No,35.44,0
54.1,77.1,59.2,49.2,84.8,90.7,9.8,5,Private,No,58.0,0
70.4,54.5,63.4,78.4,88.2,84.4,12.1,3,Public,Yes,69.03,1
64.2,67.8,56.0,70.9,93.6,75.9,6.9,3,Public,Yes,48.23,0
66.1,65.3,28.9,61.9,64.5,83.9,13.1,2,Public,No,46.73,0
82.0,52.2,46.7,73.3,74.2,85.5,11.4,2,Public,Yes,57.71,0
76.5,47.7,40.7,66.2,74.1,85.9,6.0,4,Public,No,34.94,0
86.0,76.9,34.5,66.7,72.9,86.3,13.6,0,Private,Yes,40.85,0
68.1,63.4,49.3,78.1,66.9,93.3,16.7,1,Private,Yes,77.33,1
61.6,54.7,84.5,58.6,57.7,76.3,13.0,3,Public,No,45.43,0
67.3,66.7,65.4,82.5,75.0,86.4,14.3,3,Public,Yes,53.0,0
72.9,82.7,84.1,58.0,65.5,95.3,10.3,0,Public,No,42.86,0
72.1,38.4,71.8,65.4,74.9,71.1,5.0,4,Private,Yes,40.48,0
57.0,48.5,77.0,91.2,65.3,86.4,4.5,3,Private,No,16.82,0
71.1,56.0,53.4,83.3,61.9,80.3,10.8,1,Public,No,44.85,0
72.7,87.0,73.3,73.0,76.6,82.0,8.2,4,Private,No,46.23,0
100.0,71.7,76.2,62.6,75.7,77.8,7.3,5,Public,Yes,65.24,1
92.5,78.0,57.9,66.7,80.4,83.6,9.8,2,Private,No,50.3,0
59.8,53.2,73.8,72.7,98.0,99.7,11.8,1,Private,No,50.78,0
66.6,53.4,73.9,72.4,77.1,74.9,5.6,1,Private,Yes,32.98,0
52.4,73.8,58.3,71.1,79.3,75.6,8.7,3,Public,Yes,38.93,0
62.9,68.8,50.3,71.7,62.1,74.6,14.5,0,Public,No,60.29,1
73.8,75.1,49.4,69.9,59.8,98.8,6.8,2,Public,Yes,59.46,0
84.5,65.6,67.2,57.6,91.4,81.3,12.6,0,Private,No,59.84,0
61.3,71.6,70.6,66.8,63.8,84.8,8.5,0,Public,No,36.29,0
62.2,70.1,54.9,81.1,62.5,81.8,11.6,2,Public,Yes,55.53,0
44.2,78.1,66.4,58.3,73.6,77.4,13.3,4,Private,No,58.19,0
68.0,78.5,74.0,70.1,73.0,83.1,12.2,5,Public,No,43.83,0
57.3,46.9,74.7,63.8,64.1,100.0,12.7,0,Public,Yes,39.67,0
63.6,38.8,87.7,73.1,70.6,96.1,6.5,1,Public,No,12.85,0
59.5,81.0,83.9,68.1,87.5,78.2,13.3,2,Public,Yes,76.92,1
68.9,83.4,52.0,86.8,65.1,90.2,7.4,3,Public,Yes,76.7,1
48.9,54.7,89.6,77.1,58.7,78.3,10.8,5,Public,No,41.55,0
52.4,43.8,58.6,58.9,84.4,70.8,10.8,4,Public,Yes,3.67,0
95.6,69.3,80.6,78.7,79.4,93.2,11.5,3,Public,No,75.23,1
54.6,80.1,67.0,64.3,67.2,94.3,11.0,0,Public,Yes,34.16,0
56.8,91.4,60.2,66.2,56.6,93.4,7.5,0,Public,No,27.55,0
92.0,74.7,40.7,75.1,65.8,81.2,6.0,0,Public,Yes,49.93,0
100.0,63.2,63.6,67.1,73.4,83.7,12.6,3,Public,No,58.63,0
55.9,56.4,44.2,80.9,86.8,91.0,10.6,1,Public,No,28.84,0
65.6,68.1,79.5,64.3,62.6,88.1,13.4,1,Private,No,42.54,0
74.1,64.1,87.2,65.8,73.1,81.9,9.9,4,Public,No,52.89,0
90.7,54.8,54.8,65.4,81.4,72.0,5.8,4,Public,No,32.1,0
58.2,94.6,70.2,66.3,47.8,85.9,12.9,2,Private,No,35.81,0
67.1,91.2,55.8,83.0,85.4,93.6,8.9,5,Public,No,52.7,0
79.3,82.8,57.2,78.3,61.0,75.4,11.0,4,Public,No,53.73,0
75.2,56.0,76.8,89.1,77.7,90.1,8.1,4,Public,No,50.2,0
65.5,79.1,65.5,94.7,76.7,87.7,14.9,5,Public,No,45.11,0
68.4,76.3,90.4,61.7,85.9,91.0,7.4,1,Public,Yes,70.68,1
53.5,73.8,59.2,72.7,80.1,92.0,9.0,4,Private,No,10.4,0
67.1,84.2,80.0,60.2,47.8,79.4,10.3,5,Private,No,43.64,0
66.8,76.3,67.4,64.2,65.4,72.1,6.7,5,Public,Yes,34.72,0
72.8,77.6,77.1,65.7,75.5,80.7,11.0,3,Public,Yes,59.66,0
63.3,76.3,59.7,61.4,71.9,92.1,14.8,4,Public,No,55.87,0
75.7,72.4,65.3,61.5,79.3,80.7,8.5,5,Public,No,60.74,1
82.2,44.8,64.4,70.6,82.7,79.4,11.2,5,Public,Yes,41.09,0
71.9,69.1,54.3,59.8,80.7,70.4,1.8,5,Public,Yes,41.27,0
74.2,60.8,75.3,80.4,71.6,99.0,9.9,4,Private,Yes,64.61,1
70.6,51.4,75.1,62.8,53.7,91.6,9.1,2,Public,No,12.07,0
70.0,89.9,74.3,100.0,69.0,91.2,7.5,4,Public,No,86.34,1
61.3,90.5,87.5,67.5,78.6,92.7,13.2,2,Public,No,43.98,0
73.8,85.7,86.3,72.7,62.0,89.6,9.0,4,Public,No,63.0,1
68.8,71.3,60.8,59.0,80.9,83.0,9.5,4,Private,No,51.4,0
95.1,85.6,71.2,89.1,84.0,83.7,8.9,5,Public,Yes,78.52,1
88.9,68.2,57.3,83.2,75.4,81.6,4.2,3,Private,No,42.39,0
74.6,70.6,66.3,75.0,40.3,100.0,6.6,2,Private,Yes,57.19,0
60.8,53.8,57.6,58.5,59.9,89.4,12.9,0,Private,Yes,17.43,0
56.7,73.2,88.7,74.1,94.7,81.3,3.7,3,Public,No,47.2,0
84.3,68.8,71.1,60.8,68.0,88.7,7.7,3,Public,No,38.22,0
73.2,51.1,62.9,86.6,52.2,76.9,8.8,3,Private,Yes,35.06,0
75.8,67.3,82.7,80.1,87.6,97.0,15.2,4,Private,No,79.1,1
49.1,67.0,35.6,73.0,74.1,79.7,12.3,5,Public,No,44.78,0
81.1,91.4,37.8,47.6,86.2,89.0,8.3,0,Private,Yes,44.31,0
75.5,79.6,77.1,62.2,77.0,93.5,13.9,2,Public,Yes,74.4,1
56.7,68.1,66.8,78.9,79.0,88.1,7.8,4,Public,Yes,48.6,0
64.3,71.2,69.5,84.1,78.0,85.8,13.0,4,Private,No,47.9,0
73.2,68.6,47.4,83.1,81.7,85.1,5.9,4,Public,No,37.79,0
70.6,65.4,65.7,56.1,99.1,84.5,13.2,4,Public,No,48.05,0
66.5,53.9,94.0,75.0,84.7,80.4,8.8,5,Private,Yes,52.39,0
68.8,66.0,77.5,82.2,56.6,81.4,6.9,5,Private,No,53.29,0
67.0,58.3,68.4,55.4,78.9,96.8,9.3,3,Private,No,47.1,0
71.8,51.7,59.9,71.9,86.6,84.1,10.8,1,Public,No,20.52,0
87.7,74.6,60.5,74.7,87.2,78.7,8.5,3,Private,Yes,40.93,0
39.2,73.1,36.2,69.0,69.3,80.9,11.7,4,Public,No,31.14,0
67.2,44.8,69.6,53.5,86.8,93.8,8.3,0,Public,No,22.43,0
72.1,66.4,77.8,68.7,84.2,90.4,11.9,4,Public,Yes,64.97,1
73.6,80.9,43.9,68.7,100.0,89.5,11.3,3,Private,Yes,71.28,1
65.5,81.8,56.7,70.5,65.7,82.9,9.8,5,Private,Yes,36.04,0
48.9,81.3,49.8,66.4,68.4,89.6,8.7,1,Private,Yes,21.72,0
73.9,68.5,52.5,67.6,70.6,79.9,10.5,5,Public,No,63.07,1
90.7,57.0,66.7,71.6,68.6,82.9,11.7,2,Public,Yes,58.26,0
51.6,53.9,36.8,76.4,64.2,92.8,16.2,3,Public,Yes,31.31,0
80.4,72.5,74.6,69.0,43.6,92.0,12.8,3,Public,No,37.47,0
66.1,72.9,76.6,67.9,69.2,77.1,12.9,3,Public,Yes,47.6,0
69.3,84.7,62.5,72.9,78.1,78.2,19.3,5,Public,Yes,52.88,0
57.4,82.3,31.3,52.8,68.6,85.9,11.5,1,Private,No,42.49,0
66.0,66.3,52.1,76.8,95.3,98.8,11.5,4,Private,Yes,50.07,0
85.6,51.8,83.3,72.0,74.1,69.7,12.1,5,Private,Yes,76.37,1
77.0,63.9,27.1,72.4,88.2,87.2,7.0,1,Public,Yes,31.32,0
90.8,70.8,61.1,81.6,76.9,74.0,8.7,1,Public,Yes,41.63,0
84.1,65.4,49.5,52.5,83.1,79.9,8.5,2,Public,No,31.29,0
75.3,60.5,77.3,52.3,77.1,82.1,11.9,4,Public,Yes,17.51,0
90.9,71.3,56.5,74.7,89.1,81.6,9.5,5,Public,Yes,59.35,0
75.3,61.4,71.7,71.9,74.6,80.7,10.4,4,Public,No,45.69,0
79.9,59.8,73.9,73.7,79.5,85.1,13.3,4,Public,No,66.96,1
66.4,72.0,91.7,67.4,78.0,80.7,12.6,2,Public,Yes,36.69,0
70.8,62.8,63.2,78.6,70.8,73.3,9.5,3,Public,Yes,61.19,1
61.6,71.2,71.3,81.3,78.5,91.2,8.0,1,Public,No,57.14,0
81.9,71.6,45.2,76.8,98.6,91.0,13.4,2,Public,No,72.87,1
55.9,53.2,82.7,69.4,71.0,91.7,12.3,1,Public,No,41.85,0
79.4,61.7,55.4,50.9,78.6,72.7,5.2,0,Public,Yes,45.04,0
67.7,86.7,58.1,79.7,87.8,87.4,9.1,5,Public,Yes,41.0,0
84.1,52.9,65.7,84.2,86.5,90.4,10.5,4,Public,No,64.15,1
79.0,40.5,44.1,78.4,74.1,76.8,12.3,3,Public,No,24.89,0
91.8,43.8,69.2,63.2,47.8,85.1,12.7,0,Private,No,20.15,0
78.8,68.4,79.5,78.7,79.7,84.1,10.9,0,Public,Yes,45.96,0
51.1,68.4,70.1,80.6,49.6,99.7,11.8,0,Public,No,38.98,0
69.2,66.5,43.8,87.6,90.2,100.0,10.2,4,Public,Yes,43.97,0
55.9,83.8,64.3,63.2,75.9,71.7,8.0,1,Public,No,41.29,0
63.8,33.3,76.4,69.7,85.0,100.0,9.2,1,Public,No,14.33,0
88.1,73.1,39.7,79.5,64.1,77.7,10.1,5,Private,No,20.52,0
77.7,88.3,51.0,72.6,56.9,92.8,9.9,5,Public,Yes,71.04,1
